Title,Description,Priority,State,Labels,Estimate,Team,Assignee,Project,Milestone,Parent
"Registration Portal Build","Pre-qualification form with NDA checkbox and policy acceptance. ACCEPTANCE: Form validations complete; NDA checkbox legally compliant; Attendee roster auto-generated; Confirmation emails automated.",2,Backlog,event|compliance,5,S-DNA,,,Genesis Event,"M11: Registration and KYC-Lite"
"KYC-Lite Verification","Lightweight identity verification for high-value attendees. ACCEPTANCE: Verification flow complete; Decline flow gracefully handled; Privacy-compliant data handling; Audit log captured.",2,Backlog,event|compliance,5,S-DNA,,,Genesis Event,"M11: Registration and KYC-Lite"
"Live Stream Security Setup","Host-only channels with moderation protocol. ACCEPTANCE: Chat-to-face disabled; Moderation rules active; Dry run with simulated trolls passed; Failover tested.",2,Backlog,event|security,5,S-DNA,,,Genesis Event,"M12: Environment Hardening"
"Showtime Runner System","Checklist ticker, host prompts, scene-switch markers. ACCEPTANCE: Real-time checklist visible to crew; Host prompts display on cue; Scene switches logged; Timing alerts functional.",2,Backlog,event|automation,8,S-DNA,,,Genesis Event,"M13: Live Event Run-of-Show"
"Auction Engine Development","Bid validation, anti-sniping extension, settlement ledger. ACCEPTANCE: 3 mock auctions completed; Anti-sniping buffer tested; Settlement proven accurate; Top bid announcement automated.",2,Backlog,event|payment,13,S-DNA,,,Genesis Event,"M14: Auction Mechanics"
"Auction Settlement Flow","Validate identity and funds, post final ledger. ACCEPTANCE: Identity verified pre-settlement; Funds confirmed before award; Ledger posted to Linear; Press release triggered.",2,Backlog,event|payment,5,S-DNA,,,Genesis Event,"M14: Auction Mechanics"
"Conversion Landing Pages","72-hour window pages for subscriber upsell. ACCEPTANCE: Pages live and tested; Click-to-subscribe flow working; Discount codes validated; Analytics tracking enabled.",3,Backlog,event|subscription,5,S-DNA,,,Genesis Event,"M15: Post-Event Conversion Flows"
"Post-Event Email Sequences","Automated follow-up for attendees and subscribers. ACCEPTANCE: Welcome sequence configured; Upsell sequence for non-converts; Analytics tracking; Unsubscribe working.",3,Backlog,event|subscription|automation,5,S-DNA,,,Genesis Event,"M15: Post-Event Conversion Flows"
"Registration Funnel Automation","Form validations, auto-key pre-issue, decline flow. ACCEPTANCE: Invalid submissions rejected gracefully; Keys pre-issued on approval; Decline notifications sent; Retry allowed within window.",2,Backlog,automation|event,5,S-DNA,,,Genesis Event,"M11: Registration and KYC-Lite"
"Post-Event Conversion Automation","Subscriber flow scoring, auto-issue tasks for follow-ups. ACCEPTANCE: Scoring algorithm implemented; High-intent leads flagged; Sales tasks auto-created; Metrics to dashboard.",3,Backlog,automation|subscription,5,S-DNA,,,Genesis Event,"M15: Post-Event Conversion Flows"
