Title,Description,Priority,State,Labels,Estimate,Team,Assignee,Project,Milestone,Parent
"M1: Data Integrity Lock","Define canonical symbols, intervals, adjustments, and corporate actions. Checksums and row-count parity across mirrored stores.",1,Backlog,validation|evidence,8,S-DNA,,,Phase 1,"Phase 1 — Product Validation"
"M2: Benchmark Baselines","Momentum, mean-reversion, regime classifiers, naïve Bayes. Reproducible runs with fixed seeds.",1,Backlog,validation|evidence,13,S-DNA,,,Phase 1,"Phase 1 — Product Validation"
"M3: Blind Historical Tests","Time-sliced out-of-sample evaluations with embargo periods. No code access for validators.",1,Backlog,validation|gate,8,S-DNA,,,Phase 1,"Phase 1 — Product Validation"
"M4: Accuracy Thresholds Met","Pre-set cutoffs for trend, reversal, anomaly detection. Thresholds met in 3 independent datasets.",1,Backlog,validation|gate|evidence,5,S-DNA,,,Phase 1,"Phase 1 — Product Validation"
"M5: NDA Private Tester Program Ready","10 testers onboarded under NDA. Secure portal, feedback capture, no PII leakage.",2,Backlog,validation|compliance,8,S-DNA,,,Phase 1,"Phase 1 — Product Validation"
"M6: Messaging and Collateral","Empirical value narrative, methodology guardrails, limits and ethics. Reviewed by external advisors.",2,Backlog,compliance,5,S-DNA,,,Phase 2,"Phase 2 — Monetization Architecture"
"M7: Host-Led Presentation Assets","Founder off-stage, live-switch plan, Q&A boundaries. 2 full rehearsals.",2,Backlog,event,8,S-DNA,,,Phase 2,"Phase 2 — Monetization Architecture"
"M8: Pricing and Tiers","Early Believer, Whale Table, Ghost Ticket. Benefits, limits, refund policy.",2,Backlog,payment,5,S-DNA,,,Phase 2,"Phase 2 — Monetization Architecture"
"M9: Key Issuance Mechanism","Soulbound non-transferable keys. Issuance, expiry, revocation tested.",2,Backlog,event|gate,8,S-DNA,,,Phase 2,"Phase 2 — Monetization Architecture"
"M10: Financial Ops Ready","Card + wire + crypto payments. Invoicing, dunning, refunds. Zero reconciliation drift.",2,Backlog,payment,8,S-DNA,,,Phase 2,"Phase 2 — Monetization Architecture"
"M11: Registration and KYC-Lite","Pre-qualification, NDA checkbox, policy acceptance. Roster reconciles with payment.",2,Backlog,event|compliance,5,S-DNA,,,Genesis Event,"Genesis Key Drop — Event Execution"
"M12: Environment Hardening","Host-only channels, moderation protocol, failover tested.",2,Backlog,event|security,5,S-DNA,,,Genesis Event,"Genesis Key Drop — Event Execution"
"M13: Live Event Run-of-Show","Checklist ticker, host prompts, scene-switch markers, timing alerts.",2,Backlog,event,8,S-DNA,,,Genesis Event,"Genesis Key Drop — Event Execution"
"M14: Auction Mechanics","Timeboxed auction, transparent rules, anti-sniping buffer. 3 mock auctions.",2,Backlog,event|payment,8,S-DNA,,,Genesis Event,"Genesis Key Drop — Event Execution"
"M15: Post-Event Conversion Flows","72-hour subscriber upsell window. Landing pages live, discount codes tested.",3,Backlog,event|subscription,5,S-DNA,,,Genesis Event,"Genesis Key Drop — Event Execution"
"M16: Pricing Verification and Cohort Design","$500, $1,500, $5,000/month tiers. SLA table, entitlements enforced.",3,Backlog,subscription|payment,5,S-DNA,,,Subscription,"Recurring Revenue — Subscription Engine"
"M17: Delivery Cadence and Packaging","Weekly/biweekly drops, alert formats, revision policy. >70% open rate.",3,Backlog,subscription,8,S-DNA,,,Subscription,"Recurring Revenue — Subscription Engine"
"M18: Renewal/Dunning and Churn Rescue","30/7/1 day reminders, grace periods, downgrade offers. Recovery rate target met.",3,Backlog,subscription|payment,5,S-DNA,,,Subscription,"Recurring Revenue — Subscription Engine"
"M19: Member Observability and NPS","Structured surveys, NPS > 50, anomaly reports pipeline.",3,Backlog,subscription,5,S-DNA,,,Subscription,"Recurring Revenue — Subscription Engine"
"M20: Compliance and Claims Governance","Every claim linked to evidence artifact. Review passed before publish.",3,Backlog,compliance|gate,5,S-DNA,,,Subscription,"Recurring Revenue — Subscription Engine"
"M21: Identity Insulation","No founder exposure. Proxy agents for all public comms.",2,Backlog,security,3,S-DNA,,,Protection,"Founder Protection — Identity, Privacy, Safety"
"M22: Threat Model and Response Playbooks","Doxxing, harassment, spear-phishing, deepfakes. Monitoring live.",2,Backlog,security|risk,5,S-DNA,,,Protection,"Founder Protection — Identity, Privacy, Safety"
"M23: Surface Minimization","Separate domains, emails, PO boxes, entities. High-risk removed/obfuscated.",2,Backlog,security,3,S-DNA,,,Protection,"Founder Protection — Identity, Privacy, Safety"
"M24: Legal Shields and NDAs","Counsel-signed NDAs, terms, privacy policy. Enforcement runbooks tested.",2,Backlog,compliance|security,5,S-DNA,,,Protection,"Founder Protection — Identity, Privacy, Safety"
"M25: Crisis Management Rehearsal","Incident sims with comms trees. Hotwash report, improvements logged.",3,Backlog,security|risk,3,S-DNA,,,Protection,"Founder Protection — Identity, Privacy, Safety"
